title,year,genre,director,writer,actors,wiki_url
Civilization,1915,Drama,"Reginald Barker, Thomas H. Ince",C. Gardner Sullivan,"Howard Hickman, Enid Markey, Lola May, Kate Bruce, J. Frank Burke, Claire Du Brey, George Fisher, Charles K. French, Thomas H. Ince, Herschel Mayall, Fanny Midgley, J. Barney Sherry, Jerome Storm, Ethel Ullman, Woodrow Wilson","Civilization_(film), "
Hell's Hinges,1916,"Romance, Western","Charles Swickard, William S. Hart","C. Gardner Sullivan, C. Gardner Sullivan","William S. Hart, Clara Williams, Jack Standing, Alfred Hollingsworth, Robert McKim, J. Frank Burke, Louise Glaum","Hell%27s_Hinges, "
Hoodoo Ann,1916,"Comedy, Drama, Romance",Lloyd Ingraham,D.W. Griffith,"Mae Marsh, Robert Harron, William H. Brown, Wilbur Higby, Loyola O'Connor, Mildred Harris, Pearl Elmore, Anna Dodge, Charles Lee, Elmo Lincoln, Robert Lawler, Carl Stockdale","Hoodoo_Ann, "
Sherlock Holmes,1916,Mystery,Arthur Berthelet,"H.S. Sheldon, William Gillette","William Gillette, Marjorie Kay, Ernest Maupain, Edward Fielding, Mario Majeroni, Grace Reals, William Postance, Stewart Robbins, Burford Hampden, Chester Beery, Frank Hamilton, Fred Malatesta, Leona Ball, Hugh Thompson, Ludwig Kreiss","Sherlock_Holmes_(1916_film), Sherlock_Holmes_(2009_film), Sherlock_Holmes_(2010_film), "
Snow White,1916,"Fantasy, Romance",J. Searle Dawley,"Winthrop Ames, Winthrop Ames","Dorothy Cumming, Creighton Hale, Lionel Braham, Alice Washburn, Marguerite Clark","Snow_White_(1987_film), "
Where Are My Children?,1916,Drama,"Phillips Smalley, Lois Weber","Lucy Payton, Franklyn Hall","Tyrone Power Sr., Mrs. Tyrone Power, Marie Walcamp, Cora Drew, Rena Rogers, Alva D. Blake, Juan de la Cruz, C. Norman Hammond, William J. Hope, Marjorie Blynn, William Haben","Where_Are_My_Children%3F, "
Bucking Broadway,1917,Western,John Ford,George Hively,"Harry Carey, Molly Malone, L.M. Wells, Vester Pegg, William Steele","Bucking_Broadway, "
Cleopatra,1917,"Biography, Drama, History",J. Gordon Edwards,"Adrian Johnson, Émile Moreau","Theda Bara, Fritz Leiber, Thurston Hall, Alan Roscoe, Herschel Mayall, Dorothy Drake, Delle Duncan, Henri De Vries, Art Acord, Hector V. Sarno, Genevieve Blinn","Cleopatra_(1917_film), Cleopatra_(1934_film), Cleopatra_(1963_film), Cleopatra_(1963_film), Cleopatra_(2013_film), "
Joan the Woman,1916,"Adventure, Drama, History",Cecil B. DeMille,"Jeanie Macpherson, William C. de Mille","Geraldine Farrar, Raymond Hatton, Hobart Bosworth, Theodore Roberts, Wallace Reid, Charles Clary, James Neill, Tully Marshall, Lawrence Peyton, Horace B. Carpenter, Cleo Ridgely, Lillian Leighton, Marjorie Daw, Ernest Joy, John Oaker","Joan_the_Woman, "
The Little American,1917,"Drama, Romance, War","Cecil B. DeMille, Joseph Levering",Jeanie Macpherson,"Mary Pickford, Jack Holt, Raymond Hatton, Hobart Bosworth, Walter Long, James Neill, Ben Alexander, Guy Oliver, Edythe Chapman, Lillian Leighton, DeWitt Jennings","The_Little_American, "
The Little Princess,1917,Drama,Marshall Neilan,"Frances Hodgson Burnett, Frances Marion","Mary Pickford, Norman Kerry, Katherine Griffith, Anne Schaefer, Zasu Pitts, W.E. Lawrence, Theodore Roberts, Gertrude Short, Gustav von Seyffertitz, Loretta Blake, George A. McDaniel","The_Little_Princess_(1917_film), The_Little_Princess_(1939_film), "
A Modern Musketeer,1917,"Adventure, Comedy, Western",Allan Dwan,"Allan Dwan, E.P. Lyle Jr.","Douglas Fairbanks, Marjorie Daw, Kathleen Kirkham, Eugene Ormonde, Edythe Chapman, Frank Campeau, Tully Marshall","A_Modern_Musketeer, "
The Poor Little Rich Girl,1917,"Comedy, Drama, Family",Maurice Tourneur,"Eleanor Gates, Frances Marion","Mary Pickford, Madlaine Traverse, Charles Wellesley, Gladys Fairbanks, Frank McGlynn Sr., Emile La Croix, Marcia Harris, Charles Craig, Frank Andrews, Herbert Prior, George Gernon, Maxine Elliott Hicks","The_Poor_Little_Rich_Girl, "
Rebecca of Sunnybrook Farm,1917,"Comedy, Drama",Marshall Neilan,"Frances Marion, Charlotte Thompson","Mary Pickford, Eugene O'Brien, Helen Jerome Eddy, Charles Ogle, Marjorie Daw, Mayme Kelso, Jane Wolfe, Josephine Crowell, Jack McDonald, Violet Wilkey, F.A. Turner, Kate Toncray, Emily Gerdes","Rebecca_of_Sunnybrook_Farm_(1917_film), Rebecca_of_Sunnybrook_Farm_(1938_film), "
Straight Shooting,1917,Western,John Ford,George Hively,"Harry Carey, Duke R. Lee, George Berrell, Molly Malone, Ted Brooks, Hoot Gibson, Milton Brown, Vester Pegg","Straight_Shooting, "
A Tale of Two Cities,1917,"Drama, History, Romance",Frank Lloyd,"Charles Dickens, Frank Lloyd","William Farnum, Jewel Carmen, Charles Clary, Herschel Mayall, Rosita Marstini, Josef Swickard, Ralph Lewis, William Clifford, Marc B. Robbins, Olive White, Willard Louis, Harry De Vere, Florence Vidor, James Morrison","A_Tale_of_Two_Cities_(1935_film), A_Tale_of_Two_Cities_(1958_film), "
Tom Sawyer,1917,"Adventure, Comedy, Drama",William Desmond Taylor,"Mark Twain, Julia Crawford Ivers","Jack Pickford, George Hackathorne, Alice Marvin, Edythe Chapman, Robert Gordon, Antrim Short, Clara Horton, Helen Gilmore, Carl Goetz","Tom_Sawyer_(1930_film), Tom_Sawyer_(1973_film), "
Wild and Woolly,1917,"Comedy, Western, Romance",John Emerson,"Horace B. Carpenter, Anita Loos","Douglas Fairbanks, Eileen Percy, Calvert Carter, Charles Stevens, Sam De Grasse","Wild_and_Woolly, Wild_and_Woolly, "
Amarilly of Clothes-Line Alley,1918,"Comedy, Romance",Marshall Neilan,"Frances Marion, Belle K. Maniates","Mary Pickford, William Scott, Kate Price, Ida Waterman, Norman Kerry, Fred Goodwins, Margaret Landis, Tom Wilson","Amarilly_of_Clothes-Line_Alley, "
The Forbidden City,1918,"Drama, Romance",Sidney Franklin,"Mary Murillo, George Scarborough","Norma Talmadge, Thomas Meighan, E. Alyn Warren, Michael Rayle, L. Rogers Lytton, Reid Hamilton, Charles Fang","The_Forbidden_City, "
Mickey,1918,"Comedy, Drama","F. Richard Jones, James Young","Hampton Del Ruth, J.G. Hawks","Mabel Normand, George Nichols, Laura La Varnie, Lew Cody, Minta Durfee, Wheeler Oakman, Tom Kennedy, Minnie Devereaux","Mickey_(1918_film), Mickey_(1948_film), "
Old Wives for New,1918,Drama,Cecil B. DeMille,"Jeanie Macpherson, David Graham Phillips","Elliott Dexter, Florence Vidor, Sylvia Ashton, Wanda Hawley, Theodore Roberts, Helen Jerome Eddy, Marcia Manon, Julia Faye, J. Parks Jones, Edna Mae Cooper, Gustav von Seyffertitz, Tully Marshall, Lillian Leighton, Mayme Kelso, Alice Terry","Old_Wives_for_New, "
A Romance of Happy Valley,1919,"Drama, Romance",D.W. Griffith,D.W. Griffith,"Lillian Gish, Robert Harron, George Fawcett, Kate Bruce, George Nichols, Bertram Grassby, Porter Strong, Adolph Lestina, Lydia Yeamans Titus, Andrew Arbuckle, Frances Sparks","A_Romance_of_Happy_Valley, "
Stella Maris,1918,Drama,Marshall Neilan,"William J. Locke, Frances Marion","Mary Pickford, Ida Waterman, Herbert Standing, Conway Tearle, Marcia Manon, Josephine Crowell","Stella_Maris_(1918_film), "
Tarzan of the Apes,1918,"Action, Adventure",Scott Sidney,"Edgar Rice Burroughs, Fred Miller","Elmo Lincoln, Enid Markey, True Boardman, Kathleen Kirkham, George B. French, Gordon Griffith, Colin Kenny, Thomas Jefferson, Bessie Toner, Jack Wilson, Louis Morrison, Eugene Pallette, Fred L. Wilson","Tarzan_of_the_Apes_(film), "
The Whispering Chorus,1918,Drama,Cecil B. DeMille,"Jeanie Macpherson, Perley Poore Sheehan","Raymond Hatton, Kathlyn Williams, Edythe Chapman, Elliott Dexter, Noah Beery, Guy Oliver, John Burton, Tully Marshall, William H. Brown, James Neill, Gustav von Seyffertitz, Walter Lynch, Edna Mae Cooper","The_Whispering_Chorus, "
Ravished Armenia,1919,"Drama, History, Romance",Oscar Apfel,"Aurora Mardiganian, Henry Leyford Gates","Aurora Mardiganian, Irving Cummings, Anna Q. Nilsson, Henry Morgenthau, Lillian West, Eugenie Besserer, Frank Clark, Howard Davies, Hector Dion, Miles McCarthy","Ravished_Armenia_(film), "
Daddy-Long-Legs,1919,"Comedy, Drama",Marshall Neilan,"Jean Webster, Agnes Christine Johnston","Mary Pickford, Milla Davenport, Percy Haswell, Fay Lemport, Mahlon Hamilton, Lillian Langdon, Betty Bouton, Audrey Chapman, Marshall Neilan, Carrie Clark Ward","Daddy-Long-Legs_(1919_film), "
